"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"03-Jan-2005","     2080.00","     2118.60","     2080.00","     2115.00","       70506865","         2375.10"
"04-Jan-2005","     2116.95","     2120.15","     2100.55","     2103.75","       72718302","         2416.13"
"05-Jan-2005","     2103.75","     2105.10","     1990.15","     2032.20","      109223487","         3622.02"
"06-Jan-2005","     2031.55","     2035.65","     1984.25","     1998.35","       94321939","         3233.82"
"07-Jan-2005","     1998.25","     2021.45","     1992.55","     2015.50","       76285818","         2764.03"
"10-Jan-2005","     2016.75","     2025.90","     1974.80","     1982.00","       75659206","         2349.26"
"11-Jan-2005","     1982.70","     1988.90","     1947.35","     1952.05","       70270295","         2635.87"
"12-Jan-2005","     1953.60","     1966.65","     1900.85","     1913.60","       85040272","         3348.69"
"13-Jan-2005","     1922.50","     1963.40","     1916.95","     1954.55","       80904072","         2864.68"
"14-Jan-2005","     1954.90","     1961.40","     1922.85","     1931.10","       86211083","         2653.22"
"17-Jan-2005","     1931.75","     1944.55","     1902.45","     1932.90","       82253062","         2700.13"
"18-Jan-2005","     1933.05","     1956.95","     1925.35","     1934.05","       91873146","         3095.09"
"19-Jan-2005","     1934.10","     1945.65","     1922.35","     1926.65","       94221284","         2293.88"
"20-Jan-2005","     1928.10","     1940.95","     1900.05","     1925.30","       96601275","         3420.10"
"24-Jan-2005","     1925.30","     1932.75","     1902.90","     1909.00","       74819372","         2620.68"
"25-Jan-2005","     1908.85","     1934.25","     1894.40","     1931.85","       88566262","         2826.51"
"27-Jan-2005","     1931.90","     1961.75","     1929.00","     1955.00","      135722670","         3844.54"
"28-Jan-2005","     1955.25","     2014.25","     1950.85","     2008.30","      106730397","         3558.74"
"31-Jan-2005","     2008.45","     2060.40","     2006.35","     2057.60","      137984563","         3937.87"
"01-Feb-2005","     2057.75","     2072.50","     2045.25","     2059.85","      135567534","         3744.47"
"02-Feb-2005","     2062.15","     2074.50","     2045.50","     2052.25","       89992221","         2800.78"
"03-Feb-2005","     2052.35","     2083.75","     2052.35","     2079.45","       78096873","         2532.53"
"04-Feb-2005","     2079.40","     2099.20","     2060.80","     2077.95","       79164167","         2632.63"
"07-Feb-2005","     2097.45","     2098.00","     2049.85","     2055.10","       62127314","         2319.96"
"08-Feb-2005","     2055.00","     2065.00","     2043.60","     2055.15","       74190476","         2383.24"
"09-Feb-2005","     2055.20","     2077.70","     2055.20","     2070.00","       68237793","         2317.80"
"10-Feb-2005","     2070.10","     2075.10","     2049.85","     2063.35","       69893469","         2115.09"
"11-Feb-2005","     2063.35","     2084.50","     2063.35","     2082.05","       84987297","         2575.21"
"14-Feb-2005","     2083.05","     2110.15","     2083.05","     2098.25","       86445194","         2650.60"
"15-Feb-2005","     2098.25","     2101.60","     2081.20","     2089.95","       60938189","         2274.26"
"16-Feb-2005","     2090.00","     2103.40","     2059.45","     2068.80","       68533655","         2600.84"
"17-Feb-2005","     2069.10","     2069.15","     2045.85","     2061.90","       63853254","         2308.49"
"18-Feb-2005","     2062.45","     2076.70","     2048.85","     2055.55","       63673961","         2182.69"
"21-Feb-2005","     2055.15","     2065.75","     2039.90","     2043.20","       46917742","         1846.09"
"22-Feb-2005","     2043.40","     2061.65","     2036.60","     2058.40","       51898487","         1911.09"
"23-Feb-2005","     2058.70","     2065.15","     2051.35","     2057.10","       52493127","         2009.68"
